FlightDate,Airline,FlightNum,Origin,Dest,CRSDepTime,DepDelayMinutes,WindSpeed,Visibility,Precipitation,Temperature
01-01-2025,Vistara,599,BOM,DEL,860,8,2.7,10.9,4.8,4.7
01-01-2025,AirIndia,820,BOM,CCU,1294,13,13,2.8,8.2,6.8
01-01-2025,SpiceJet,454,BLR,CCU,1130,38,9.2,7.2,8.2,20.9
01-01-2025,AirIndia,584,CCU,CCU,1095,21,24.8,9.9,3.2,19.7
01-01-2025,Vistara,310,CCU,HYD,1638,28,21.5,8.8,0,7.3
01-01-2025,SpiceJet,803,DEL,BOM,2169,5,11,14.7,9.1,26.2
01-01-2025,GoFirst,143,HYD,BLR,466,22,25,12,7.6,35
01-01-2025,Vistara,640,HYD,DEL,1238,6,12.9,11.8,1.1,-3
01-01-2025,GoFirst,670,DEL,BLR,330,6,4.2,6,7,13.8
01-01-2025,IndiGo,682,HYD,BOM,1482,7,13.9,1.1,0.2,21.7
01-01-2025,Vistara,191,BOM,BOM,2135,8,5.7,11.3,0.3,21.4
01-01-2025,IndiGo,364,HYD,HYD,130,21,15.9,15,5.3,-4.1
01-01-2025,Vistara,994,HYD,CCU,1685,9,23.4,6.7,1,4.5
01-01-2025,Vistara,319,DEL,CCU,769,7,19.7,14.8,9.6,-2.2
01-01-2025,IndiGo,541,BLR,BOM,1515,6,6.8,3,8.9,20.6
01-01-2025,SpiceJet,500,HYD,HYD,1215,6,7.4,5.2,6.5,24
01-01-2025,AirIndia,499,HYD,HYD,955,6,1.7,3.4,0.6,2.2
01-01-2025,GoFirst,826,BLR,DEL,2324,5,7.1,7.7,3.2,10
01-01-2025,Vistara,998,DEL,CCU,1184,7,2.3,12.2,3.7,9.8
01-01-2025,GoFirst,888,BLR,BOM,459,4,12.5,5.8,4.8,31.9
01-01-2025,IndiGo,675,DEL,BLR,21,42,17.7,13.7,1.7,3.8
01-01-2025,GoFirst,957,BOM,CCU,2300,6,18.8,8.6,5.8,19.7
01-01-2025,IndiGo,903,DEL,DEL,747,10,1.5,7.5,4.4,30.2
01-01-2025,GoFirst,589,BOM,HYD,474,19,8.5,12,9.5,32.3
02-01-2025,AirIndia,584,BOM,BOM,1082,8,7.2,2.4,9.4,25
02-01-2025,AirIndia,856,DEL,CCU,2047,32,2.6,11.8,5.7,8.5
02-01-2025,AirIndia,569,CCU,BLR,975,6,9.1,4.4,6.4,32
02-01-2025,AirIndia,673,DEL,DEL,1806,24,7.5,4.9,1.4,28.4
02-01-2025,AirIndia,943,HYD,DEL,189,6,15.9,9.4,2.2,26.7
02-01-2025,AirIndia,781,HYD,CCU,562,10,22.1,13.6,9,-2
02-01-2025,IndiGo,544,CCU,BLR,1899,6,11.4,9.1,7,-3.1
02-01-2025,Vistara,368,BOM,DEL,1267,8,18.7,10.1,1.9,26.3
02-01-2025,GoFirst,366,CCU,BOM,1528,18,3.7,11.9,5.7,37.5
02-01-2025,AirIndia,153,HYD,DEL,646,5,22.4,4.6,9.3,29.8
02-01-2025,IndiGo,627,CCU,BLR,2068,11,3.8,12.6,3.5,32.4
02-01-2025,IndiGo,619,DEL,HYD,2214,9,4.8,6.9,1.9,19.5
02-01-2025,IndiGo,715,CCU,HYD,1297,22,2.7,3.5,9.4,8.7
02-01-2025,Vistara,158,BOM,CCU,600,23,7.7,5.9,4.6,25.5
02-01-2025,GoFirst,924,DEL,BLR,2061,4,13.8,4.4,4.2,27
02-01-2025,Vistara,139,BLR,DEL,241,12,24.7,4.2,2.7,25.4
02-01-2025,SpiceJet,336,HYD,DEL,2041,11,19.8,5,8.9,37.6
02-01-2025,IndiGo,485,HYD,HYD,1363,6,9.5,3.5,8.5,11.5
02-01-2025,SpiceJet,705,CCU,HYD,2139,9,14.4,10.3,4,-3.2
